study_id,match,paper_count,doi,first_author,surname,authors,title,abstract,journal,year,month,volume,issue,pages,inclusion,which_check,uni_name,ab_uni_name,working_group_name,uni_working_group,qualification,working_group_number,Number_person_in_working_group,nr_researchers,group_paper_count,publication_strength,quartile,links,federal_state,state_uni,form,Ansprache,Countercheck_Website,Countercheck_Category,Countercheck_Kommentar,Countercheck_ls_or_jd,Countercheck_inclusion,Countercheck_which_check,notes_covidence,covidence_support_binary,covidence_support
1,anonymized,6,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,2014,anonymized,anonymized,anonymized,anonymized,true,step1,anonymized,anonymized,anonymized,anonymized,anonymized,21,5,7,31,4.428571429,4,anonymized,anonymized,anonymized,anonymized,anonymized,false_negative,Has married and new name,NA,ls,true,step1,anonymized,,
2,anonymized,6,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,2017,anonymized,anonymized,anonymized,anonymized,true,step1,anonymized,anonymized,anonymized,anonymized,anonymized,21,5,7,31,4.428571429,4,anonymized,anonymized,anonymized,anonymized,anonymized,false_negative,Has married and new name,NA,ls,true,step1,anonymized,,
3,anonymized,6,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,2019,anonymized,anonymized,anonymized,anonymized,true,step1,anonymized,anonymized,anonymized,anonymized,anonymized,21,5,7,31,4.428571429,4,anonymized,anonymized,anonymized,anonymized,anonymized,false_negative,Has married and new name,NA,ls,true,step1,anonymized,,
4,anonymized,2,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,2022,anonymized,anonymized,anonymized,anonymized,true,step1,anonymized,anonymized,anonymized,anonymized,anonymized,79,5,16,42,2.625,3,anonymized,anonymized,anonymized,anonymized,anonymized,false_negative,NA,NA,ls,true,step1,anonymized,,
5,anonymized,12,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,2021,anonymized,anonymized,anonymized,anonymized,true,step1,anonymized,anonymized,anonymized,anonymized,anonymized,22,2,21,56,2.666666667,3,anonymized,anonymized,anonymized,anonymized,anonymized,false_negative,NA,NA,ls,true,step1,anonymized,,
6,anonymized,13,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,2017,anonymized,anonymized,anonymized,anonymized,true,step1,anonymized,anonymized,anonymized,anonymized,anonymized,54,1,24,67,2.791666667,4,anonymized,anonymized,anonymized,anonymized,anonymized,false_negative,NA,NA,ls,true,step1,anonymized,,
7,anonymized,8,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,2021,anonymized,anonymized,anonymized,anonymized,true,step1,anonymized,anonymized,anonymized,anonymized,anonymized,14,3,17,54,3.176470588,4,anonymized,anonymized,anonymized,anonymized,anonymized,false_negative,NA,NA,ls,true,step1,anonymized,,
8,anonymized,9,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,2019,anonymized,anonymized,anonymized,anonymized,true,step1,anonymized,anonymized,anonymized,anonymized,anonymized,86,1,6,18,3,4,anonymized,anonymized,anonymized,anonymized,anonymized,false_negative,NA,NA,ls,true,step1,anonymized,,
9,anonymized,2,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,2018,anonymized,anonymized,anonymized,anonymized,true,step1,anonymized,anonymized,anonymized,anonymized,anonymized,59,11,17,18,1.058823529,1,anonymized,anonymized,anonymized,anonymized,anonymized,false_negative,NA,NA,ls,true,step1,anonymized,,
10,anonymized,7,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,2013,anonymized,anonymized,anonymized,anonymized,true,step1,anonymized,anonymized,anonymized,anonymized,anonymized,20,8,21,37,1.761904762,2,anonymized,anonymized,anonymized,anonymized,anonymized,false_negative,NA,NA,ls,true,step1,anonymized,,
