match,paper_count,first_author,name_adress,initial_first_name,surname,middle_name_true,mail,qualification_level,uni_name,research_chair_name,working_group_id,person_id_in_working_group,links,federal_state
anonymized,5,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Professor,anonymized,anonymized,47,1,anonymized,anonymized
anonymized,0,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Postdoc,anonymized,anonymized,34,6,anonymized,anonymized
anonymized,3,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Postdoc,anonymized,anonymized,63,5,anonymized,anonymized
anonymized,0,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Postdoc,anonymized,anonymized,59,2,anonymized,anonymized
anonymized,9,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Postdoc,anonymized,anonymized,70,3,anonymized,anonymized
anonymized,0,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Predoc,anonymized,anonymized,10,4,anonymized,anonymized
anonymized,1,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Predoc,anonymized,anonymized,11,3,anonymized,anonymized
anonymized,0,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Predoc,anonymized,anonymized,1,3,anonymized,anonymized
anonymized,0,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Predoc,anonymized,anonymized,54,3,anonymized,anonymized
anonymized,12,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Postdoc,anonymized,anonymized,22,2,anonymized,anonymized
anonymized,10,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Postdoc,anonymized,anonymized,8,8,anonymized,anonymized
anonymized,0,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Postdoc,anonymized,anonymized,49,9,anonymized,anonymized
anonymized,2,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Predoc,anonymized,anonymized,45,3,anonymized,anonymized
anonymized,0,anonymized,anonymized,anonymized,anonymized,anonymized,anonymized,Predoc,anonymized,anonymized,48,3,anonymized,anonymized
